2023-03-30 23:46:23,727 DEBUG      transport.py Сформирован словарь сообщения: {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1680205583.7270381, 'mess_text': 'Привет!'}
2023-03-30 23:46:23,727 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1680205583.7270381, 'mess_text': 'Привет!'}), {}. Вызов из модуля common.utils
2023-03-30 23:46:23,727 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:24,332 DEBUG      transport.py Разбор сообщения от сервера: {'response': 200}
2023-03-30 23:46:24,332 INFO       transport.py Отправлено сообщение для пользователя test2
2023-03-30 23:46:24,380 DEBUG      main_window.py Отправлено сообщение для test2: Привет!
2023-03-30 23:46:24,609 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:24,609 DEBUG      transport.py Принято сообщение с сервера: {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1680205583.7270381, 'mess_text': 'Привет!'}
2023-03-30 23:46:24,609 DEBUG      transport.py Разбор сообщения от сервера: {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1680205583.7270381, 'mess_text': 'Привет!'}
2023-03-30 23:46:24,609 DEBUG      transport.py Получено сообщение от пользователя test1:Привет!
2023-03-30 23:46:24,610 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:25,662 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:26,112 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:27,117 DEBUG      transport.py Создание контакта test1
2023-03-30 23:46:27,117 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>, {'action': 'add', 'time': 1680205587.1172285, 'user': 'test2', 'account_name': 'test1'}), {}. Вызов из модуля common.utils
2023-03-30 23:46:27,117 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:27,387 DEBUG      transport.py Разбор сообщения от сервера: {'response': 200}
2023-03-30 23:46:27,388 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:27,435 INFO       main_window.py Успешно добавлен контакт <PyQt5.QtGui.QStandardItem object at 0x7f77c191aef0>
2023-03-30 23:46:27,614 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:28,891 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:29,115 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:30,392 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:30,617 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:31,894 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:32,119 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:33,395 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:33,620 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:34,897 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:35,121 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:36,399 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:36,623 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:37,900 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:38,125 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:39,402 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
