2023-03-18 20:12:26,650 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 44198), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 20:12:27,151 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 400, 'error': 'Имя пользователя уже занято.'},), {}. Вызов из модуля __main__
2023-03-18 20:12:27,151 DEBUG      client.py Разбор сообщения от сервера: {'response': 400, 'error': 'Имя пользователя уже занято.'}
2023-03-18 20:12:27,152 ERROR      client.py При установке соединения сервер вернул ошибку: 400 : Имя пользователя уже занято.
2023-03-18 20:12:44,660 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 20:12:48,794 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7773, режим работы: test2
2023-03-18 20:12:48,794 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test2',), {}. Вызов из модуля __main__
2023-03-18 20:12:48,794 DEBUG      client.py Сформировано presence сообщение для пользователя test2
2023-03-18 20:12:48,794 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43752), raddr=('127.0.0.1', 7773)>, {'action': 'presence', 'time': 1679155968.7946303, 'user': {'account_name': 'test2'}}), {}. Вызов из модуля utils
2023-03-18 20:12:48,794 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43752), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:12:49,296 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 20:12:49,296 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 20:12:49,296 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 20:12:49,296 DEBUG      client.py Запущены процессы
2023-03-18 20:12:49,296 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43752), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:13:05,161 DEBUG      client.py Сформирован словарь сообщения: {'action': 'message', 'from': 'test2', 'to': 'test2', 'time': 1679155985.1619003, 'mess_text': 'hhhhhh'}
2023-03-18 20:13:05,162 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43752), raddr=('127.0.0.1', 7773)>, {'action': 'message', 'from': 'test2', 'to': 'test2', 'time': 1679155985.1619003, 'mess_text': 'hhhhhh'}), {}. Вызов из модуля utils
2023-03-18 20:13:05,162 INFO       client.py Отправлено сообщение для пользователя test2
2023-03-18 20:13:32,850 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43752), raddr=('127.0.0.1', 7773)>, {'action': 'exit', 'time': 1679156012.85066, 'account_name': 'test2'}), {}. Вызов из модуля utils
2023-03-18 20:13:32,851 INFO       client.py Завершение работы по команде пользователя.
2023-03-18 20:16:19,735 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 20:16:24,353 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7773, режим работы: test8
2023-03-18 20:16:24,354 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test8',), {}. Вызов из модуля __main__
2023-03-18 20:16:24,354 DEBUG      client.py Сформировано presence сообщение для пользователя test8
2023-03-18 20:16:24,354 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 39162), raddr=('127.0.0.1', 7773)>, {'action': 'presence', 'time': 1679156184.3541827, 'user': {'account_name': 'test8'}}), {}. Вызов из модуля utils
2023-03-18 20:16:24,354 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 39162), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:16:24,354 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 20:16:24,354 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 20:16:24,354 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 20:16:24,355 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 39162), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:16:24,355 DEBUG      client.py Запущены процессы
2023-03-18 20:16:41,497 DEBUG      client.py Сформирован словарь сообщения: {'action': 'message', 'from': 'test8', 'to': 'test8', 'time': 1679156201.4974935, 'mess_text': 'hhhhh'}
2023-03-18 20:16:41,497 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 39162), raddr=('127.0.0.1', 7773)>, {'action': 'message', 'from': 'test8', 'to': 'test8', 'time': 1679156201.4974935, 'mess_text': 'hhhhh'}), {}. Вызов из модуля utils
2023-03-18 20:16:41,497 INFO       client.py Отправлено сообщение для пользователя test8
2023-03-18 20:16:41,872 INFO       client.py Получено сообщение от пользователя test8:
hhhhh
2023-03-18 20:16:41,873 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 39162), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:18:22,052 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 20:18:25,417 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7773, режим работы: qwert
2023-03-18 20:18:25,417 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('qwert',), {}. Вызов из модуля __main__
2023-03-18 20:18:25,417 DEBUG      client.py Сформировано presence сообщение для пользователя qwert
2023-03-18 20:18:25,418 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40526), raddr=('127.0.0.1', 7773)>, {'action': 'presence', 'time': 1679156305.4179506, 'user': {'account_name': 'qwert'}}), {}. Вызов из модуля utils
